ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r01-4b3822e0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r02-5143a667.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r03-2e231df6.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r04-09ca5561.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r05-794e088d.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r06-a0fe85f9.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r07-dfe49c9b.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r08-30fbed6b.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r09-66c545f2.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s2-r10-c8157171.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r01-ac947a3f.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r02-8f23ca69.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r03-3f0f4c0d.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r04-162ececf.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r05-f378edf0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r06-bb53e49f.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r07-77b79cd4.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r08-8b644afe.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r09-260fa8d7.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s3-r10-12ddb50e.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r01-52f48cd3.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r02-5f4191d9.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r03-369951c2.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r04-d7f7ccf5.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r05-441d1e81.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r06-5f15327e.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r07-1e890a62.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
